Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6487176967672202,0.1672350293275133,0.5398502862175253,0.25536346594459486,0.6470327524680521
Random Forest,0.8029871278372801,0.2203280797684143,0.301629238221048,0.25464684014869887,0.6674349816041024
XGBoost,0.7031541711702859,0.19514955537590944,0.5314839277851167,0.2854777672658467,0.6764804825189237
