Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8879827061019947,0.423728813559322,0.011008366358432409,0.02145922746781116,0.6172141361084815
Random Forest,0.7953719170678982,0.1447861965491373,0.16996917657419638,0.1563702653433259,0.5602942647184408
XGBoost,0.8357570993416528,0.1778846153846154,0.13033905768383972,0.15044472681067345,0.5857531832581857
